,Datetime,AvgPrice
411,21-08-2012,6024.5
412,22-08-2012,6312
413,23-08-2012,5670
414,24-08-2012,6363
415,25-08-2012,5200
416,27-08-2012,6211
417,28-08-2012,5629.5
418,29-08-2012,6521
419,30-08-2012,5374
420,31-08-2012,6429
421,03-09-2012,6423
422,04-09-2012,6062
423,05-09-2012,5500
424,06-09-2012,6300
425,07-09-2012,6336
426,08-09-2012,5000
427,10-09-2012,6187
428,11-09-2012,5713
429,12-09-2012,6177
430,13-09-2012,6241.5
431,14-09-2012,6356.5
432,17-09-2012,6299
433,18-09-2012,6075
434,19-09-2012,3425.5
435,20-09-2012,5600
436,21-09-2012,5848
437,24-09-2012,5650
438,25-09-2012,5600
439,26-09-2012,5581
440,27-09-2012,5600
441,28-09-2012,5324
442,29-09-2012,6800
443,01-10-2012,5548
444,02-10-2012,5000
445,03-10-2012,5598.5
446,04-10-2012,5700
447,05-10-2012,5556
448,08-10-2012,5853
449,09-10-2012,5827.5
450,10-10-2012,5700
451,11-10-2012,5881.5
452,12-10-2012,5821.5
453,15-10-2012,5700
454,16-10-2012,6223
455,17-10-2012,6213
456,18-10-2012,6319
457,19-10-2012,6435
458,22-10-2012,6208
459,24-10-2012,4650
460,25-10-2012,5750
461,26-10-2012,5750
462,27-10-2012,4869
463,28-10-2012,4891
464,29-10-2012,6106
465,30-10-2012,5825
466,31-10-2012,5825
467,01-11-2012,5959.5
468,02-11-2012,6349
469,04-11-2012,4444
470,05-11-2012,6400
471,06-11-2012,5750
472,07-11-2012,6143
473,08-11-2012,6039.5
474,09-11-2012,6248
475,12-11-2012,6023.5
476,14-11-2012,6014
477,15-11-2012,6200
478,16-11-2012,5946
479,19-11-2012,6162.5
480,20-11-2012,6343
481,21-11-2012,6479.5
482,22-11-2012,6500
483,23-11-2012,6239.5
484,24-11-2012,6715
485,26-11-2012,6550
486,27-11-2012,5425
487,28-11-2012,6030
488,29-11-2012,5871
489,30-11-2012,6678
490,03-12-2012,6393
491,04-12-2012,6215
492,05-12-2012,6608
493,06-12-2012,6575
494,07-12-2012,6443.5
495,10-12-2012,6413
496,11-12-2012,6500
497,12-12-2012,6562
498,13-12-2012,6503.5
499,14-12-2012,6404
500,17-12-2012,6637.5
501,18-12-2012,6642.5
502,19-12-2012,6520
503,20-12-2012,6478.5
504,21-12-2012,6357
505,22-12-2012,5030
506,24-12-2012,6242.5
507,26-12-2012,6349.5
508,27-12-2012,6375
509,28-12-2012,6525
510,31-12-2012,6500
511,02-01-2013,6236
512,03-01-2013,6413
513,04-01-2013,6203.5
514,07-01-2013,6627
515,08-01-2013,6183
516,09-01-2013,6642.5
517,10-01-2013,6375
518,11-01-2013,6478
519,17-01-2013,6365
520,18-01-2013,6525
521,19-01-2013,4939
522,20-01-2013,6900
523,21-01-2013,6619
524,22-01-2013,6473.5
525,23-01-2013,6564
526,24-01-2013,6500
527,25-01-2013,5250
528,28-01-2013,6680.5
529,29-01-2013,6800
530,30-01-2013,6473
531,31-01-2013,6686
532,01-02-2013,6750
533,02-02-2013,5210
534,04-02-2013,6448.5
535,05-02-2013,6625
